sampleID	source	group
S-16_BDME192032769-1a	Rumen	Stomachs
S-17_BDME192032770-1a	Rumen	Stomachs
S-18_BDME192032771-1a	Rumen	Stomachs
S-19_BDME192032772-1a	Rumen	Stomachs
S-20_BDME192032773-1a	Rumen	Stomachs
S-21_BDME192032774-1a	Rumen	Stomachs
S-22_BDME192032775-1a	Rumen	Stomachs
S-23_BDME192032776-1a	Rumen	Stomachs
S-24_BDME192032777-1a	Rumen	Stomachs
S-25_BDME192032778-1a	Rumen	Stomachs
S-26_BDME192032779-1a	Rumen	Stomachs
S-27_BDME192032780-1a	Rumen	Stomachs
S-28_BDME192032781-1a	Rumen	Stomachs
S-29_BDME192032782-1a	Rumen	Stomachs
S-30_BDME192032783-1a	Rumen	Stomachs
S-31_BDME192032784-1a	Rumen	Stomachs
S-32_BDME192032785-1a	Rumen	Stomachs
S-33_BDME192032786-1a	Rumen	Stomachs
S-34_BDME192032787-1a	Rumen	Stomachs
S-36_BDME192032788-1a	Rumen	Stomachs
S-37_BDME192032789-1a	Rumen	Stomachs
S-38_BDME192032790-1a	Rumen	Stomachs
S-39_BDME192032791-1a	Rumen	Stomachs
S-40_BDME192032792-1a	Rumen	Stomachs
S-41_BDME192032793-1a	Rumen	Stomachs
S-42_BDME192032794-1a	Rumen	Stomachs
S-43_BDME192032795-1a	Rumen	Stomachs
S-44_BDME192032796-1a	Rumen	Stomachs
S-45_BDME192032797-1a	Rumen	Stomachs
S-46_BDME192032798-1a	Rumen	Stomachs
S-47_BDME192032799-1a	Rumen	Stomachs
S-48_BDME192032800-1a	Rumen	Stomachs
S-49_BDME192032801-1a	Rumen	Stomachs
S-50_BDME192032802-1a	Rumen	Stomachs
S-51_BDME192032803-1a	Rumen	Stomachs
S-52_BDME192032804-1a	Rumen	Stomachs
S-53_BDME192032805-1a	Rumen	Stomachs
S-54_BDME192032806-1a	Rumen	Stomachs
S-55_BDME192032807-1a	Rumen	Stomachs
S-56_BDME192032808-1a	Rumen	Stomachs
S-57_BDME192032809-1a	Rumen	Stomachs
S-58_BDME192032810-1a	Rumen	Stomachs
S-59_BDME192032811-1a	Rumen	Stomachs
S-60_BDME192032812-1a	Rumen	Stomachs
S-61_BDME192032813-1a	Rumen	Stomachs
S-62_BDME192032814-1a	Rumen	Stomachs
S-63_BDME192032815-1a	Rumen	Stomachs
S-64_BDME192032816-1a	Rumen	Stomachs
S-11-071_FDME192071055-1a	Rumen	Stomachs
S-17-0037_FDME192071048-1a	Rumen	Stomachs
S-18-0084_FDME192071051-1a	Rumen	Stomachs
S-19-0086_FDME192071060-1a	Rumen	Stomachs
S-1_FDME192071053-1a	Rumen	Stomachs
S-20-0040_FDME192071062-1a	Rumen	Stomachs
S-2-0033_FDME192071052-1a	Rumen	Stomachs
S-21_FDME192071056-1a	Rumen	Stomachs
S-21_FDME192071058-1a	Rumen	Stomachs
S-22_FDME192071049-1a	Rumen	Stomachs
S-23_FDME192071050-1a	Rumen	Stomachs
S-24-0082_FDME192071063-1a	Rumen	Stomachs
S-35_FDME192071059-1a	Rumen	Stomachs
S-4_FDME192071061-1a	Rumen	Stomachs
S-5-0083_FDME192071057-1a	Rumen	Stomachs
S-7-0038_FDME192071054-1a	Rumen	Stomachs
S-8-0036_FDME192071065-1a	Rumen	Stomachs
S-9-0039_FDME192071066-1a	Rumen	Stomachs
S-24_FDME192071042-1a	Rumen	Stomachs
S-25_FDME192071039-1a	Rumen	Stomachs
S-26_FDME192071045-1a	Rumen	Stomachs
S-28_FDME192071034-1a	Rumen	Stomachs
S-29_FDME192071030-1a	Rumen	Stomachs
S-509_FDME192071031-1a	Rumen	Stomachs
S-511_FDME192071032-1a	Rumen	Stomachs
S-515_FDME192071036-1a	Rumen	Stomachs
S-516_FDME192071037-1a	Rumen	Stomachs
S-517_FDME192071046-1a	Rumen	Stomachs
S-518_FDME192071038-1a	Rumen	Stomachs
S-519_FDME192071040-1a	Rumen	Stomachs
S-520_FDME192071044-1a	Rumen	Stomachs
S-521_FDME192071035-1a	Rumen	Stomachs
